Name,Year_of_Release,Global_Sales,Critic_Score,User_Score,Genre
Grand Theft Auto V,2013,21.04,97,8.2,Action
Call of Duty: Black Ops II,2012,13.79,83,5.3,Shooter
Call of Duty: Modern Warfare 3,2011,13.32,88,3.2,Shooter
Call of Duty: Black Ops,2010,12.63,88,6.4,Shooter
Gran Turismo 5,2010,10.7,84,7.5,Racing
Call of Duty: Modern Warfare 2,2009,10.6,94,6.3,Shooter
Grand Theft Auto IV,2008,10.5,98,7.5,Action
Call of Duty: Ghosts,2013,9.36,71,2.6,Shooter
FIFA Soccer 13,2012,8.16,88,6.6,Action
Battlefield 3,2011,7.17,85,7.5,Shooter
Uncharted 3: Drake's Deception,2011,6.74,92,8.3,Action
Call of Duty 4: Modern Warfare,2007,6.68,94,8.4,Shooter
Uncharted 2: Among Thieves,2009,6.66,96,8.8,Action
Red Dead Redemption,2010,6.49,95,8.8,Action
FIFA 14,2013,6.47,86,4.3,Sports
Assassin's Creed III,2012,6.45,85,6.9,Action
The Elder Scrolls V: Skyrim,2011,6.41,92,6.4,Role-Playing
Metal Gear Solid 4: Guns of the Patriots,2008,5.99,94,8.7,Action
The Last of Us,2013,5.87,95,9.1,Action
LittleBigPlanet,2008,5.82,95,6.8,Platform
Assassin's Creed II,2009,5.55,91,8.6,Action
Batman: Arkham City,2011,5.48,96,8.6,Action
Call of Duty: World at War,2008,5.39,85,7.6,Shooter
Final Fantasy XIII,2009,5.33,83,7.3,Role-Playing
Resident Evil 5,2009,5.09,84,7.5,Action
FIFA Soccer 11,2010,5.07,89,8.0,Sports
Uncharted: Drake's Fortune,2007,4.92,88,8.1,Action
Assassin's Creed,2007,4.82,81,7.3,Adventure
God of War III,2010,4.8,92,8.7,Action
Resistance: Fall of Man,2006,4.34,86,8.1,Shooter
Batman: Arkham Asylum,2009,4.23,91,8.9,Action
Assassin's Creed: Revelations,2011,4.22,80,7.5,Action
Gran Turismo 5 Prologue,2007,4.19,80,7.1,Racing
Street Fighter IV,2009,4.16,94,7.3,Fighting
Fallout 3,2008,3.94,90,8.0,Role-Playing
MotorStorm,2006,3.87,84,7.4,Racing
Sports Champions,2010,3.84,76,7.9,Sports
Assassin's Creed IV: Black Flag,2013,3.71,88,8.1,Action
FIFA Soccer 10,2009,3.62,91,7.6,Sports
Battlefield 4,2013,3.49,80,5.8,Shooter
LittleBigPlanet 2,2011,3.39,91,8.4,Platform
Far Cry 3,2012,3.35,90,8.5,Shooter
Gran Turismo 6,2013,3.23,81,7.7,Racing
L.A. Noire,2011,3.17,89,7.7,Adventure
Fallout: New Vegas,2010,3.11,82,7.8,Role-Playing
The Elder Scrolls IV: Oblivion,2007,3.1,93,8.0,Role-Playing
Resident Evil 6,2012,3.1,74,5.4,Shooter
Heavy Rain,2010,3.03,87,7.7,Adventure
Killzone 2,2009,3.01,91,8.1,Shooter
Battlefield: Bad Company 2,2010,2.95,88,8.5,Shooter
inFAMOUS,2009,2.93,85,8.3,Action
Mortal Kombat,2011,2.84,84,8.4,Fighting
Assassin's Creed: Brotherhood,2010,2.82,90,8.2,Action
Medal of Honor,2010,2.81,75,7.5,Shooter
Need for Speed: Hot Pursuit,2010,2.78,89,7.2,Racing
Killzone 3,2011,2.77,84,7.9,Shooter
Tekken 6,2009,2.75,79,7.4,Fighting
Need for Speed: Shift,2009,2.65,84,6.9,Racing
Final Fantasy XIII-2,2011,2.63,79,6.6,Role-Playing
God of War Collection,2009,2.6,91,8.7,Action
FIFA Soccer 09,2008,2.58,87,7.5,Sports
Madden NFL 13,2012,2.56,83,5.5,Sports
NBA 2K13,2012,2.47,90,8.0,Sports
Saints Row: The Third,2011,2.47,82,7.7,Action
Resistance 2,2008,2.46,87,6.1,Shooter
Midnight Club: Los Angeles,2008,2.45,82,8.2,Racing
pro evolution soccer 2011,2010,2.41,77,6.8,Sports
Madden NFL 11,2010,2.38,83,6.1,Sports
Madden NFL 10,2009,2.37,85,6.8,Sports
Batman: Arkham Origins,2013,2.29,76,7.7,Action
LEGO Star Wars: The Complete Saga,2007,2.29,80,6.7,Action
Pro Evolution Soccer 2010,2009,2.28,78,6.7,Sports
Dead Island,2011,2.27,71,6.6,Action
Sonic's Ultimate Genesis Collection,2009,2.26,80,8.6,Misc
Madden NFL 12,2011,2.25,79,5.5,Sports
God of War: Ascension,2013,2.25,80,7.5,Action
Guitar Hero III: Legends of Rock,2007,2.24,83,7.8,Misc
Borderlands 2,2012,2.23,91,8.2,Shooter
Star Wars: The Force Unleashed,2008,2.21,71,6.6,Action
Pro Evolution Soccer 2012,2011,2.19,80,6.6,Action
Hitman: Absolution,2012,2.14,83,7.5,Action
NBA 2K12,2011,2.11,90,6.7,Sports
NBA 2K14,2013,2.11,84,4.9,Sports
Borderlands,2009,2.09,83,7.9,Shooter
Need For Speed: Undercover,2008,2.05,59,5.9,Racing
Need for Speed: ProStreet,2007,2.04,73,6.0,Racing
Dark Souls,2011,2.02,89,8.7,Role-Playing
Need for Speed: The Run,2011,2.01,64,6.4,Action
Dead Space,2008,2.0,88,8.8,Action
Mortal Kombat vs. DC Universe,2008,2.0,76,7.1,Fighting
Skate 3,2010,1.98,80,7.6,Sports
Burnout Paradise,2008,1.94,87,7.7,Racing
The Sims 3,2010,1.94,78,6.4,Simulation
Guitar Hero: World Tour,2008,1.92,84,7.5,Misc
Diablo III,2013,1.91,86,6.4,Role-Playing
Madden NFL 09,2008,1.88,85,4.4,Sports
Madden NFL 25,2013,1.87,76,4.1,Sports
Max Payne 3,2012,1.85,87,7.8,Shooter
LEGO Marvel Super Heroes,2013,1.84,82,7.9,Action
inFAMOUS 2,2011,1.82,83,8.4,Action
Demon's Souls,2009,1.82,89,8.9,Role-Playing
NBA 2K11,2010,1.8,89,7.6,Action
UFC 2009 Undisputed,2009,1.76,84,8.1,Fighting
Just Cause 2,2010,1.75,83,8.0,Action
FIFA Soccer 08,2007,1.75,81,7.1,Sports
Dragon's Dogma,2012,1.74,78,8.3,Role-Playing
Portal 2,2011,1.7,95,8.4,Shooter
BioShock Infinite,2013,1.69,94,8.5,Shooter
Saints Row 2,2008,1.68,82,7.9,Action
Dragon Age: Origins,2009,1.67,87,7.9,Role-Playing
Fight Night Round 3,2006,1.67,83,7.9,Fighting
Heavenly Sword,2007,1.65,79,8.3,Action
Beyond: Two Souls,2013,1.63,70,8.1,Adventure
Rock Band,N/A,1.62,92,8.4,Misc
Pro Evolution Soccer 2008,2007,1.59,74,6.1,Sports
Sonic Generations,2011,1.58,76,8.2,Platform
Devil May Cry 4,2008,1.57,84,8.2,Action
BioShock 2,2010,1.54,88,8.2,Shooter
Pro Evolution Soccer 2013,2012,1.53,82,6.7,Sports
Dishonored,2012,1.53,89,7.9,Action
Fight Night Round 4,2009,1.52,88,7.6,Fighting
Ni no Kuni: Wrath of the White Witch,2011,1.51,85,8.6,Role-Playing
Call of Duty 3,2006,1.5,80,6.9,Shooter
Star Wars: The Force Unleashed II,2010,1.5,63,6.8,Action
Rock Band 2,2008,1.49,91,7.9,Misc
Mafia II,2010,1.49,75,7.7,Action
Resistance 3,2011,1.48,83,7.8,Shooter
SoulCalibur IV,2008,1.46,85,7.9,Fighting
Mass Effect 2,2011,1.45,94,8.5,Role-Playing
BioShock,2008,1.42,94,8.7,Shooter
Mass Effect 3,2012,1.42,93,5.5,Role-Playing
Dead Space 2,2011,1.42,89,8.4,Shooter
Metal Gear Rising: Revengeance,2013,1.42,80,7.9,Action
UFC Undisputed 2010,2010,1.41,85,7.2,Fighting
Medal of Honor: Warfighter,2012,1.41,55,6.0,Action
Far Cry 2,2008,1.38,85,6.4,Action
Deus Ex: Human Revolution,2011,1.37,89,8.2,Shooter
Dead Rising 2,2010,1.36,80,6.7,Action
Ridge Racer 7,2006,1.36,78,7.1,Racing
WWE '13,2012,1.35,76,8.1,Action
MotorStorm: Pacific Rift,2008,1.35,82,8.0,Racing
Tom Clancy's Rainbow Six: Vegas 2,2008,1.34,81,7.9,Shooter
Marvel vs. Capcom 3: Fate of Two Worlds,2011,1.34,84,7.3,Fighting
F1 2010,2010,1.34,84,7.8,Racing
Battlefield: Bad Company,2008,1.34,84,8.1,Shooter
WWE SmackDown vs Raw 2008,2007,1.33,74,7.3,Fighting
Rage,2011,1.31,81,6.2,Shooter
LEGO Harry Potter: Years 1-4,2010,1.31,79,8.0,Action
LEGO Batman: The Videogame,2008,1.29,75,7.7,Action
Crysis 2,2011,1.29,85,7.2,Action
Assassin's Creed: Rogue,2014,1.29,72,7.5,Action
Dark Souls II,2014,1.27,91,8.1,Role-Playing
Valkyria Chronicles,2008,1.27,86,8.6,Role-Playing
Final Fantasy X / X-2 HD Remaster,2013,1.27,85,8.5,Role-Playing
Need for Speed Rivals,2013,1.27,80,4.9,Racing
Tomb Raider: Underworld,2008,1.26,75,7.2,Action
Saints Row IV,2013,1.25,76,6.3,Action
SOCOM: U.S. Navy SEALs Confrontation,2008,1.25,63,6.9,Shooter
Tom Clancy's Rainbow Six: Vegas,2007,1.25,86,7.6,Shooter
[Prototype],2009,1.24,79,7.7,Action
FIFA Street,2012,1.23,76,6.4,Sports
Need for Speed Carbon,2006,1.23,75,7.3,Racing
2010 FIFA World Cup South Africa,2010,1.23,82,7.8,Sports
Tales of Xillia,2011,1.22,78,8.2,Role-Playing
Naruto Shippuden: Ultimate Ninja Storm 2,2010,1.21,76,8.3,Fighting
Medal of Honor: Airborne,2007,1.21,75,7.6,Shooter
Bayonetta,2009,1.21,87,7.7,Action
F1 2011,2011,1.2,82,7.1,Racing
LEGO Batman 2: DC Super Heroes,2012,1.19,81,7.5,Action
Injustice: Gods Among Us,2013,1.18,78,7.9,Fighting
One Piece: Pirate Warriors,2012,1.18,64,6.5,Action
